,Unnamed: 0,input,target,trial_id,task_id
0,0,"['0.1', '0.3', '0.8']",fruit,0,0.0
1,1,"['0.7', '0.4', '0.6']",fruit,1,0.0
2,2,"['0.2', '0.7', '0.3']",vegetable,2,0.0
3,3,"['0.6', '0.2', '0.5']",vegetable,3,0.0
4,4,"['0.4', '0.6', '0.9']",fruit,4,0.0
5,5,"['0.9', '0.1', '0.7']",vegetable,5,0.0
6,6,"['0.3', '0.8', '0.2']",vegetable,6,0.0
7,7,"['0.8', '0.5', '0.4']",fruit,7,0.0
8,8,"['0.5', '0.9', '0.1']",fruit,8,0.0
9,9,"['0.2', '0.4', '0.7']",vegetable,9,0.0
10,10,"['0.1', '0.6', '0.9']",vegetable,10,0.0
11,11,"['0.7', '0.3', '0.5']",fruit,11,0.0
12,12,"['0.6', '0.8', '0.2']",vegetable,12,0.0
13,13,"['0.3', '0.1', '0.4']",vegetable,13,0.0
14,14,"['0.9', '0.7', '0.6']",fruit,14,0.0
15,15,"['0.4', '0.5', '0.3']",vegetable,15,0.0
16,16,"['0.8', '0.2', '0.1']",fruit,16,0.0
17,17,"['0.5', '0.4', '0.8']",fruit,17,0.0
18,18,"['0.2', '0.9', '0.6']",fruit,18,0.0
19,19,"['0.1', '0.7', '0.2']",vegetable,19,0.0
20,20,"['0.7', '0.6', '0.4']",fruit,20,0.0
21,21,"['0.6', '0.3', '0.9']",fruit,21,0.0
22,22,"['0.3', '0.5', '0.7']",vegetable,22,0.0
23,23,"['0.9', '0.2', '0.8']",fruit,23,0.0
24,24,"['0.4', '0.8', '0.5']",fruit,24,0.0
25,25,"['0.8', '0.1', '0.3']",vegetable,25,0.0
26,26,"['0.5', '0.6', '0.2']",vegetable,26,0.0
27,27,"['0.2', '0.4', '0.1']",vegetable,27,0.0
28,28,"['0.1', '0.3', '0.6']",vegetable,28,0.0
29,29,"['0.7', '0.9', '0.5']",fruit,29,0.0
30,30,"['0.6', '0.7', '0.8']",fruit,30,0.0
31,31,"['0.3', '0.2', '0.4']",vegetable,31,0.0
32,32,"['0.9', '0.4', '0.7']",fruit,32,0.0
33,33,"['0.4', '0.3', '0.2']",vegetable,33,0.0
34,34,"['0.8', '0.6', '0.9']",fruit,34,0.0
35,35,"['0.5', '0.8', '0.1']",vegetable,35,0.0
36,36,"['0.2', '0.1', '0.3']",vegetable,36,0.0
37,37,"['0.1', '0.5', '0.4']",vegetable,37,0.0
38,38,"['0.7', '0.2', '0.6']",vegetable,38,0.0
39,39,"['0.6', '0.4', '0.7']",fruit,39,0.0
40,40,"['0.3', '0.7', '0.9']",fruit,40,0.0
41,41,"['0.9', '0.5', '0.2']",fruit,41,0.0
42,42,"['0.4', '0.9', '0.3']",fruit,42,0.0
43,43,"['0.8', '0.3', '0.6']",vegetable,43,0.0
44,44,"['0.5', '0.1', '0.2']",vegetable,44,0.0
45,45,"['0.2', '0.6', '0.5']",vegetable,45,0.0
46,46,"['0.1', '0.8', '0.7']",fruit,46,0.0
47,47,"['0.7', '0.9', '0.1']",fruit,47,0.0
48,48,"['0.6', '0.5', '0.4']",vegetable,48,0.0
49,49,"['0.3', '0.4', '0.8']",fruit,49,0.0
50,50,"['0.9', '0.7', '0.3']",fruit,50,0.0
51,51,"['0.4', '0.2', '0.6']",vegetable,51,0.0
52,52,"['0.8', '0.6', '0.7']",fruit,52,0.0
53,53,"['0.5', '0.3', '0.9']",fruit,53,0.0
54,54,"['0.2', '0.8', '0.4']",fruit,54,0.0
55,55,"['0.1', '0.4', '0.5']",vegetable,55,0.0
56,56,"['0.7', '0.1', '0.3']",vegetable,56,0.0
57,57,"['0.6', '0.9', '0.2']",vegetable,57,0.0
58,58,"['0.3', '0.6', '0.5']",vegetable,58,0.0
59,59,"['0.9', '0.8', '0.1']",fruit,59,0.0
60,60,"['0.4', '0.7', '0.4']",fruit,60,0.0
61,61,"['0.8', '0.5', '0.7']",fruit,61,0.0
62,62,"['0.5', '0.2', '0.9']",fruit,62,0.0
63,63,"['0.2', '0.3', '0.1']",vegetable,63,0.0
64,64,"['0.1', '0.9', '0.8']",fruit,64,0.0
65,65,"['0.7', '0.4', '0.2']",vegetable,65,0.0
66,66,"['0.6', '0.1', '0.6']",vegetable,66,0.0
67,67,"['0.3', '0.8', '0.5']",vegetable,67,0.0
68,68,"['0.9', '0.6', '0.4']",fruit,68,0.0
69,69,"['0.4', '0.2', '0.3']",vegetable,69,0.0
70,70,"['0.8', '0.7', '0.2']",fruit,70,0.0
71,71,"['0.5', '0.5', '0.6']",fruit,71,0.0
72,72,"['0.2', '0.3', '0.7']",vegetable,72,0.0
73,73,"['0.1', '0.1', '0.9']",fruit,73,0.0
74,74,"['0.7', '0.8', '0.5']",fruit,74,0.0
75,75,"['0.6', '0.6', '0.4']",vegetable,75,0.0
76,76,"['0.3', '0.4', '0.1']",vegetable,76,0.0
77,77,"['0.9', '0.2', '0.7']",fruit,77,0.0
78,78,"['0.4', '0.5', '0.6']",fruit,78,0.0
79,79,"['4', '2', '7']",books,0,1.0
80,80,"['5', '3', '6']",books,1,1.0
81,81,"['3', '4', '8']",books,2,1.0
82,82,"['6', '2', '5']",books,3,1.0
83,83,"['4', '3', '9']",books,4,1.0
84,84,"['7', '4', '6']",books,5,1.0
85,85,"['5', '5', '7']",books,6,1.0
86,86,"['6', '3', '8']",books,7,1.0
87,87,"['3', '2', '6']",books,8,1.0
88,88,"['4', '4', '5']",books,9,1.0
89,89,"['8', '5', '9']",books,10,1.0
90,90,"['7', '3', '7']",books,11,1.0
91,91,"['5', '2', '8']",books,12,1.0
92,92,"['6', '4', '7']",books,13,1.0
93,93,"['3', '3', '5']",books,14,1.0
94,94,"['4', '5', '6']",books,15,1.0
95,95,"['9', '2', '9']",books,16,1.0
96,96,"['8', '4', '8']",books,17,1.0
97,97,"['7', '5', '9']",books,18,1.0
98,98,"['6', '3', '6']",books,19,1.0
99,99,"['5', '4', '7']",books,20,1.0
100,100,"['4', '2', '5']",books,21,1.0
101,101,"['3', '5', '4']",books,22,1.0
102,102,"['8', '3', '7']",books,23,1.0
103,103,"['7', '2', '8']",books,24,1.0
104,104,"['6', '5', '6']",books,25,1.0
105,105,"['5', '3', '5']",books,26,1.0
106,106,"['4', '4', '4']",books,27,1.0
107,107,"['9', '3', '8']",books,28,1.0
108,108,"['8', '2', '7']",books,29,1.0
109,109,"['7', '4', '5']",books,30,1.0
110,110,"['6', '5', '4']",books,31,1.0
111,111,"['5', '2', '3']",books,32,1.0
112,112,"['4', '3', '2']",books,33,1.0
113,113,"['3', '4', '1']",books,34,1.0
114,114,"['8', '5', '6']",movies,35,1.0
115,115,"['7', '4', '4']",movies,36,1.0
116,116,"['6', '3', '3']",movies,37,1.0
117,117,"['5', '2', '2']",movies,38,1.0
118,118,"['4', '1', '1']",movies,39,1.0
119,119,"['3', '5', '5']",movies,40,1.0
120,120,"['2', '4', '4']",movies,41,1.0
121,121,"['1', '3', '3']",movies,42,1.0
122,122,"['9', '2', '2']",movies,43,1.0
123,123,"['7', '5', '5']",movies,44,1.0
124,124,"['5', '4', '4']",movies,45,1.0
125,125,"['3', '3', '3']",movies,46,1.0
126,126,"['6', '1', '1']",movies,47,1.0
127,127,"['4', '5', '5']",movies,48,1.0
128,128,"['2', '4', '4']",movies,49,1.0
129,129,"['8', '3', '3']",movies,50,1.0
130,130,"['6', '5', '5']",movies,51,1.0
131,131,"['4', '4', '4']",movies,52,1.0
132,132,"['2', '3', '3']",movies,53,1.0
133,133,"['9', '1', '1']",movies,54,1.0
134,134,"['7', '4', '4']",movies,55,1.0
135,135,"['5', '3', '3']",movies,56,1.0
136,136,"['3', '2', '2']",movies,57,1.0
137,137,"['8', '5', '5']",movies,58,1.0
138,138,"['6', '4', '4']",movies,59,1.0
139,139,"['4', '3', '3']",movies,60,1.0
140,140,"['2', '2', '2']",movies,61,1.0
141,141,"['9', '5', '5']",movies,62,1.0
142,142,"['7', '3', '3']",movies,63,1.0
143,143,"['5', '2', '2']",movies,64,1.0
144,144,"['3', '1', '1']",movies,65,1.0
145,145,"['Low', 'High', 'Low']",Gas,0,2.0
146,146,"['High', 'Low', 'Low']",Liquid,1,2.0
147,147,"['Low', 'Low', 'High']",Gas,2,2.0
148,148,"['High', 'High', 'Low']",Liquid,3,2.0
149,149,"['Medium', 'Medium', 'Medium']",Gas,4,2.0
150,150,"['Low', 'Medium', 'High']",Gas,5,2.0
151,151,"['High', 'Medium', 'Low']",Liquid,6,2.0
152,152,"['Medium', 'Low', 'High']",Gas,7,2.0
153,153,"['Medium', 'High', 'Low']",Liquid,8,2.0
154,154,"['Low', 'Low', 'Medium']",Gas,9,2.0
155,155,"['High', 'High', 'Medium']",Liquid,10,2.0
156,156,"['Medium', 'Low', 'Low']",Gas,11,2.0
157,157,"['Medium', 'High', 'High']",Liquid,12,2.0
158,158,"['Low', 'Medium', 'Medium']",Gas,13,2.0
159,159,"['High', 'Medium', 'Medium']",Liquid,14,2.0
160,160,"['Medium', 'Medium', 'Low']",Gas,15,2.0
161,161,"['Medium', 'Medium', 'High']",Liquid,16,2.0
162,162,"['Low', 'High', 'Medium']",Gas,17,2.0
163,163,"['High', 'Low', 'Medium']",Liquid,18,2.0
164,164,"['Medium', 'Low', 'Medium']",Gas,19,2.0
165,165,"['Medium', 'High', 'Medium']",Liquid,20,2.0
166,166,"['Low', 'Medium', 'Low']",Gas,21,2.0
167,167,"['High', 'Medium', 'High']",Liquid,22,2.0
168,168,"['Medium', 'Low', 'High']",Gas,23,2.0
169,169,"['Medium', 'High', 'Low']",Liquid,24,2.0
