,Unnamed: 0,input,target,task_id
0,0,"[0.35, 0.17, 0.18]",A,0
1,1,"[0.47, 0.21, 0.8]",B,0
2,2,"[0.45, 0.84, 0.51]",A,0
3,3,"[0.02, 0.7, 0.75]",B,0
4,4,"[0.33, 0.91, 0.66]",A,0
5,5,"[0.93, 0.48, 0.8]",B,0
6,6,"[0.16, 0.1, 0.78]",A,0
7,7,"[0.97, 0.76, 0.03]",B,0
8,8,"[0.76, 0.34, 0.3]",A,0
9,9,"[0.96, 0.19, 0.6]",B,0
10,10,"[0.19, 0.15, 0.72]",A,0
11,11,"[0.14, 0.97, 0.24]",B,0
12,12,"[0.83, 0.18, 0.96]",A,0
13,13,"[0.43, 0.58, 0.04]",B,0
14,14,"[0.13, 0.8, 0.45]",A,0
15,15,"[0.22, 0.22, 0.72]",B,0
16,16,"[0.89, 0.09, 0.87]",A,0
17,17,"[0.24, 0.97, 0.78]",B,0
18,18,"[0.68, 0.8, 0.35]",A,0
19,19,"[0.31, 0.34, 0.52]",B,0
20,20,"[0.79, 0.77, 0.23]",A,0
21,21,"[0.71, 0.23, 0.0]",B,0
22,22,"[0.78, 0.62, 0.08]",A,0
23,23,"[0.55, 0.66, 0.11]",B,0
24,24,"[0.48, 0.09, 0.9]",A,0
25,25,"[0.43, 0.22, 0.76]",A,0
26,26,"[0.99, 0.08, 0.32]",B,0
27,27,"[0.15, 0.63, 0.18]",A,0
28,28,"[0.39, 0.45, 0.22]",B,0
29,29,"[0.44, 0.09, 0.91]",A,0
30,30,"[0.4, 0.11, 0.42]",B,0
31,31,"[0.49, 0.66, 0.68]",A,0
32,32,"[0.02, 0.73, 0.99]",B,0
33,33,"[0.1, 0.94, 0.56]",A,0
34,34,"[0.42, 0.74, 0.29]",B,0
35,35,"[0.87, 0.17, 0.12]",A,0
36,36,"[0.2, 0.05, 0.8]",B,0
37,37,"[0.55, 0.41, 0.14]",A,0
38,38,"[0.4, 0.14, 0.86]",A,0
39,39,"[0.2, 0.83, 0.69]",B,0
40,40,"[0.09, 0.36, 0.08]",A,0
41,41,"[0.99, 0.69, 0.98]",B,0
42,42,"[0.61, 0.92, 0.25]",A,0
43,43,"[0.71, 0.5, 0.83]",B,0
44,44,"[0.45, 0.03, 0.94]",A,0
45,45,"[0.45, 0.13, 0.02]",B,0
46,46,"[0.35, 0.91, 0.95]",A,0
47,47,"[0.89, 0.07, 0.27]",B,0
48,48,"[0.66, 0.04, 0.33]",A,0
49,49,"[0.71, 0.22, 0.1]",B,0
50,50,"[0.15, 0.13, 0.76]",A,0
51,51,"[0.25, 0.49, 0.98]",A,0
52,52,"[0.9, 0.27, 0.41]",B,0
53,53,"[0.1, 0.11, 0.37]",B,0
54,54,"[0.76, 0.36, 0.12]",A,0
55,55,"[0.3, 0.84, 0.6]",B,0
56,56,"[0.15, 0.87, 0.15]",A,0
57,57,"[0.03, 0.45, 0.49]",B,0
58,58,"[0.83, 0.19, 0.98]",B,0
59,59,"[0.14, 0.68, 0.81]",A,0
60,60,"[0.07, 0.28, 0.51]",A,0
61,61,"[0.86, 0.06, 0.55]",B,0
62,62,"[0.78, 0.01, 0.88]",B,0
63,63,"[0.47, 0.48, 0.01]",B,0
