,Unnamed: 0,input,target,trial_id,task_id
0,0,"[0.0, 0.3333, 0.4428]",A,0,0.0
1,1,"[0.2123, 0.9156, 0.1037]",A,1,0.0
2,2,"[0.5652, 0.528, 0.031]",A,2,0.0
3,3,"[0.0242, 0.0375, 0.979]",A,3,0.0
4,4,"[0.5609, 0.9265, 0.8422]",B,4,0.0
5,5,"[0.3801, 0.0604, 0.221]",B,5,0.0
6,6,"[0.0, 0.6452, 0.429]",B,6,0.0
7,7,"[0.0737, 0.6731, 0.4229]",B,7,0.0
8,8,"[0.1, 0.2, 0.3]",A,0,1.0
9,9,"[0.6, 0.3, 0.9]",A,1,1.0
10,10,"[0.4, 0.2, 0.2]",B,2,1.0
11,11,"[0.1, 0.4, 0.5]",A,3,1.0
12,12,"[0.5, 0.2, 0.5]",A,4,1.0
13,13,"[0.8, 0.4, 0.8]",B,5,1.0
14,14,"[0.2, 0.3, 0.5]",A,6,1.0
15,15,"[0.7, 0.1, 0.7]",A,7,1.0
16,16,"[0.1, 0.4, 0.8]",B,0,2.0
17,17,"[0.8, 0.5, 0.9]",A,1,2.0
18,18,"[0.6, 0.8, 0.3]",A,2,2.0
19,19,"[0.2, 0.6, 0.3]",B,3,2.0
20,20,"[0.8, 0.1, 0.6]",B,4,2.0
21,21,"[0.3, 0.7, 0.8]",A,5,2.0
22,22,"[0.1, 0.2, 0.5]",A,6,2.0
23,23,"[0.8, 0.1, 0.3]",B,7,2.0
24,24,"[0.34, 0.01, 0.44]",A,0,3.0
25,25,"[0.15, 0.72, 0.24]",B,1,3.0
26,26,"[0.64, 0.02, 0.85]",A,2,3.0
27,27,"[0.24, 0.92, 0.23]",B,3,3.0
28,28,"[0.18, 0.43, 0.95]",A,4,3.0
29,29,"[0.75, 0.97, 0.72]",B,5,3.0
30,30,"[0.46, 0.25, 0.03]",A,6,3.0
31,31,"[0.15, 0.98, 0.21]",A,7,3.0
32,32,"[0.41969, 0.85778, 0.90981]",A,0,4.0
33,33,"[0.59639, 0.31336, 0.37544]",A,1,4.0
34,34,"[0.84633, 0.59932, 0.30141]",B,2,4.0
35,35,"[0.38465, 0.45355, 0.99091]",B,3,4.0
36,36,"[0.54208, 0.40083, 0.42128]",A,4,4.0
37,37,"[0.53523, 0.58588, 0.46468]",A,5,4.0
38,38,"[0.53939, 0.33466, 0.95997]",B,6,4.0
39,39,"[0.32473, 0.30225, 0.93985]",A,7,4.0
40,40,"[0.234, 0.451, 0.123]",A,0,5.0
41,41,"[0.78, 0.774, 0.105]",A,1,5.0
42,42,"[0.277, 0.076, 0.816]",A,2,5.0
43,43,"[0.887, 0.183, 0.454]",A,3,5.0
44,44,"[0.062, 0.541, 0.693]",A,4,5.0
45,45,"[0.775, 0.559, 0.69]",B,5,5.0
46,46,"[0.685, 0.146, 0.539]",B,6,5.0
47,47,"[0.394, 0.754, 0.802]",B,7,5.0
48,48,"[0.4, 0.45, 0.48]",A,0,6.0
49,49,"[0.55, 0.1, 0.3]",A,1,6.0
50,50,"[0.57, 0.4, 0.1]",B,2,6.0
51,51,"[0.99, 0.99, 0.99]",A,3,6.0
52,52,"[0.09, 0.45, 0.23]",B,4,6.0
53,53,"[0.42, 0.68, 0.99]",A,5,6.0
54,54,"[0.15, 0.85, 0.99]",B,6,6.0
55,55,"[0.1, 0.4, 0.45]",A,7,6.0
56,56,"[0.0, 1.0, 0.0]",A,0,7.0
57,57,"[0.0, 0.0, 1.0]",A,1,7.0
58,58,"[0.0, 1.0, 1.0]",B,2,7.0
59,59,"[1.0, 0.0, 1.0]",B,3,7.0
60,60,"[1.0, 1.0, 0.0]",A,4,7.0
61,61,"[1.0, 1.0, 1.0]",A,5,7.0
62,62,"[1.0, 0.0, 0.0]",A,6,7.0
63,63,"[0.0, 0.0, 0.0]",B,7,7.0
64,64,"[0.4, 0.2, 0.5]",A,0,8.0
65,65,"[0.1, 0.5, 0.5]",A,1,8.0
66,66,"[0.2, 0.2, 0.8]",A,2,8.0
67,67,"[0.5, 0.4, 0.3]",B,3,8.0
68,68,"[0.9, 0.3, 0.8]",B,4,8.0
69,69,"[0.8, 0.2, 0.7]",B,5,8.0
70,70,"[0.6, 0.4, 0.3]",A,6,8.0
71,71,"[0.4, 0.3, 0.4]",A,7,8.0
72,72,"[0.05, 0.53, 0.25]",B,0,9.0
73,73,"[0.1, 0.63, 0.32]",A,1,9.0
74,74,"[0.21, 0.48, 0.59]",A,2,9.0
75,75,"[0.72, 0.88, 0.78]",A,3,9.0
76,76,"[0.19, 0.52, 0.52]",B,4,9.0
77,77,"[0.07, 0.74, 0.32]",B,5,9.0
78,78,"[0.2, 0.02, 0.82]",B,6,9.0
79,79,"[0.12, 0.71, 0.5]",B,7,9.0
80,80,"[0.0, 0.6, 0.2]",A,0,10.0
81,81,"[0.5, 0.3, 0.5]",A,1,10.0
82,82,"[0.1, 0.2, 0.3]",A,2,10.0
83,83,"[0.1, 0.1, 0.4]",A,3,10.0
84,84,"[0.3, 0.1, 0.1]",A,4,10.0
85,85,"[0.1, 0.6, 0.3]",A,5,10.0
86,86,"[0.4, 0.2, 0.6]",B,6,10.0
87,87,"[0.3, 0.3, 0.3]",B,7,10.0
88,88,"[0.0, 0.0, 0.0]",A,0,11.0
89,89,"[0.0, 0.0, 1.0]",A,1,11.0
90,90,"[0.0, 1.0, 0.0]",B,2,11.0
91,91,"[0.0, 1.0, 1.0]",B,3,11.0
92,92,"[1.0, 0.0, 0.0]",B,4,11.0
93,93,"[1.0, 0.0, 1.0]",A,5,11.0
94,94,"[1.0, 1.0, 0.0]",A,6,11.0
95,95,"[1.0, 1.0, 1.0]",A,7,11.0
96,96,"[0.2, 0.3, 0.1]",A,0,12.0
97,97,"[0.4, 0.3, 0.4]",A,1,12.0
98,98,"[0.2, 0.5, 0.8]",B,2,12.0
99,99,"[0.6, 0.4, 0.6]",B,3,12.0
100,100,"[0.3, 0.8, 0.1]",A,4,12.0
101,101,"[0.3, 0.4, 0.7]",A,5,12.0
102,102,"[0.2, 0.3, 0.7]",B,6,12.0
103,103,"[0.3, 0.8, 0.6]",A,7,12.0
104,104,"[1.0, 1.0, 1.0]",A,0,13.0
105,105,"[0.2, 0.8, 0.6]",B,1,13.0
106,106,"[0.1, 0.9, 0.7]",A,2,13.0
107,107,"[0.5, 0.7, 0.3]",B,3,13.0
108,108,"[0.8, 0.9, 0.4]",B,4,13.0
109,109,"[0.0, 0.3, 0.5]",A,5,13.0
110,110,"[0.4, 0.2, 0.1]",B,6,13.0
111,111,"[0.7, 0.2, 0.7]",B,7,13.0
112,112,"[0.0, 0.3, 0.25]",A,0,14.0
113,113,"[0.2, 0.8, 0.6]",A,1,14.0
114,114,"[0.4, 0.55, 0.3]",B,2,14.0
115,115,"[0.1, 0.95, 0.35]",B,3,14.0
116,116,"[0.8, 0.15, 0.9]",B,4,14.0
117,117,"[0.25, 0.9, 0.3]",A,5,14.0
118,118,"[0.75, 0.65, 0.6]",A,6,14.0
119,119,"[0.0, 0.35, 0.35]",B,7,14.0
120,120,"[0.496, 0.187, 0.111]",B,0,15.0
121,121,"[0.496, 0.311, 0.111]",A,1,15.0
122,122,"[0.496, 0.419, 0.111]",A,2,15.0
123,123,"[0.496, 0.558, 0.111]",B,3,15.0
124,124,"[0.496, 0.468, 0.132]",A,4,15.0
125,125,"[0.496, 0.52, 0.257]",B,5,15.0
