,feature_names,category_names,task_id
0,"['length', 'width', 'height', 'weight', 'color', 'texture']","['furniture', 'vehicles']",0
1,"['wingspan', 'beaklength', 'leglength', 'necklength', 'feathercolor', 'migrationpattern']","['seabirds', 'songbirds']",1
2,"['bladelength', 'griptype', 'metaltype', 'engraving', 'edgetype', 'tangstyle']","['daggers', 'swords']",2
3,"['enginesize', 'mpg', 'seatingcapacity', 'cargovolume', 'drivetype', 'countryoforigin']","['trucks', 'cars']",3
4,"['petalcount', 'petalshape', 'sepalsize', 'stemlength', 'leafshape', 'fragrance']","['roses', 'tulips']",4
5,"['snoutshape', 'furcolor', 'clawshape', 'taillength', 'habitat', 'diet']","['bears', 'canines']",5
6,"['nucleotidesequence', 'promoterregion', 'introncount', 'codonbias', 'methylation', 'histonemodification']","['housekeeping', 'tissue-specific']",6
7,"['orbitshape', 'orbitalperiod', 'mass', 'radius', 'temperature', 'atmosphere']","['gasgiants', 'terrestrial']",7
8,"['fincount', 'gilltype', 'jawshape', 'schoolingbehavior', 'habitat', 'diet']","['sharks', 'bonyfish']",8
9,"['wheelcount', 'suspension', 'drivetrain', 'weight', 'topspeed', 'enginetype']","['Formula1', 'rallycars']",9
10,"['ingredienttypes', 'cookingmethod', 'cuisine', 'texture', 'flavorprofile', 'presentation']","['appetizers', 'entrees']",10
11,"['canvassize', 'medium', 'brushstrokes', 'useofcolor', 'subjectmatter', 'realism']","['abstract', 'portraits']",11
12,"['legcount', 'wings', 'venomous', 'habitat', 'size', 'coloration']","['spiders', 'insects']",12
13,"['necklength', 'bodyshape', 'habitat', 'tailfeatures', 'diet', 'lifespan']","['grazinganimals', 'predators']",13
14,"['stanzalength', 'rhymescheme', 'tone', 'imagery', 'figuresofspeech', 'theme']","['sonnets', 'freeverse']",14
15,"['gravity', 'orbitalradius', 'temperature', 'composition', 'magnetism', 'volcanism']","['rockyplanets', 'gasgiants']",15
16,"['furpatterning', 'territoriality', 'littersize', 'lifespan', 'habitat', 'diet']","['felines', 'canines']",16
17,"['altituderange', 'wingspan', 'plumage', 'migratorypattern', 'billshape', 'diet']","['waterfowl', 'raptors']",17
18,"['enginedisplacement', 'drivetrain', 'bodystyle', 'luxuryfeatures', 'brandprestige', 'pricepoint']","['economycars', 'luxuryvehicles']",18
19,"['plantsize', 'leafshape', 'soilconditions', 'bloomingseason', 'color', 'fragrance']","['annuals', 'perennials']",19
20,"['proteincontent', 'fatcontent', 'preparationmethod', 'texture', 'spices', 'presentation']","['meats', 'vegetables']",20
21,"['pagecount', 'genre', 'theme', 'characterarcs', 'prosestyle', 'publicationdate']","['fiction', 'nonfiction']",21
22,"['trovevalue', 'materials', 'craftsmanship', 'engraving', 'provenance', 'collectorinterest']","['jewelry', 'weaponry']",22
23,"['limblength', 'furcolor', 'habitat', 'littersize', 'socialstructure', 'diet']","['grazinganimals', 'predators']",23
24,"['distortion', 'delaytime', 'equalization', 'stereowidth', 'bitdepth', 'samplerate']","['digitaleffects', 'analogeffects']",24
25,"['orbitaldistance', 'surfacetemperature', 'atmosphericcomposition', 'geology', 'moons', 'rings']","['gasgiants', 'rockyplanets']",25
