,run,trial,casino,mean0,mean1,reward0,reward1,choice
0,0,0,1,0.0,0.0,0.0,0.0,1
1,0,1,2,0.0,1.0,0.0,1.0,2
2,0,2,1,0.0,0.0,0.0,0.0,2
3,0,3,2,0.0,1.0,0.0,1.0,2
4,0,4,2,0.0,1.0,0.0,1.0,2
5,0,5,3,1.0,0.0,1.0,0.0,2
6,0,6,2,0.0,1.0,0.0,1.0,2
7,0,7,2,0.0,1.0,0.0,1.0,2
8,0,8,1,0.0,0.0,0.0,0.0,2
9,0,9,1,0.0,0.0,0.0,0.0,2
10,0,10,3,1.0,0.0,1.0,0.0,1
11,0,11,4,1.0,1.0,1.0,1.0,1
12,0,12,4,1.0,1.0,1.0,1.0,2
13,0,13,1,0.0,0.0,0.0,0.0,2
14,0,14,1,0.0,0.0,0.0,0.0,1
15,0,15,1,0.0,0.0,0.0,0.0,1
16,0,16,3,1.0,0.0,1.0,0.0,2
17,0,17,4,1.0,1.0,1.0,1.0,2
18,0,18,4,1.0,1.0,1.0,1.0,2
19,0,19,4,1.0,1.0,1.0,1.0,2
20,0,20,4,1.0,1.0,1.0,1.0,1
21,0,21,4,1.0,1.0,1.0,1.0,1
22,0,22,4,1.0,1.0,1.0,1.0,2
23,0,23,2,0.0,1.0,0.0,1.0,1
24,0,24,2,0.0,1.0,0.0,1.0,2
25,0,25,2,0.0,1.0,0.0,1.0,2
26,0,26,4,1.0,1.0,1.0,1.0,2
27,0,27,1,0.0,0.0,0.0,0.0,2
28,0,28,4,1.0,1.0,1.0,1.0,2
29,0,29,3,1.0,0.0,1.0,0.0,1
30,0,30,3,1.0,0.0,1.0,0.0,2
31,0,31,2,0.0,1.0,0.0,1.0,2
32,0,32,2,0.0,1.0,0.0,1.0,1
33,0,33,1,0.0,0.0,0.0,0.0,2
34,0,34,4,1.0,1.0,1.0,1.0,1
35,0,35,3,1.0,0.0,1.0,0.0,1
36,0,36,3,1.0,0.0,1.0,0.0,1
37,0,37,4,1.0,1.0,1.0,1.0,2
38,0,38,4,1.0,1.0,1.0,1.0,1
39,0,39,1,0.0,0.0,0.0,0.0,2
40,0,40,2,0.0,1.0,0.0,1.0,2
41,0,41,2,0.0,1.0,0.0,1.0,2
42,0,42,1,0.0,0.0,0.0,0.0,1
43,0,43,2,0.0,1.0,0.0,1.0,1
44,0,44,1,0.0,0.0,0.0,0.0,1
45,0,45,4,1.0,1.0,1.0,1.0,1
46,0,46,3,1.0,0.0,1.0,0.0,1
47,0,47,1,0.0,0.0,0.0,0.0,2
48,0,48,2,0.0,1.0,0.0,1.0,1
49,0,49,1,0.0,0.0,0.0,0.0,1
50,0,50,2,0.0,1.0,0.0,1.0,1
51,0,51,4,1.0,1.0,1.0,1.0,1
52,0,52,1,0.0,0.0,0.0,0.0,2
53,0,53,2,0.0,1.0,0.0,1.0,2
54,0,54,1,0.0,0.0,0.0,0.0,2
55,0,55,4,1.0,1.0,1.0,1.0,2
56,0,56,4,1.0,1.0,1.0,1.0,2
57,0,57,3,1.0,0.0,1.0,0.0,1
58,0,58,3,1.0,0.0,1.0,0.0,1
59,0,59,3,1.0,0.0,1.0,0.0,1
60,0,60,4,1.0,1.0,1.0,1.0,2
61,0,61,2,0.0,1.0,0.0,1.0,1
62,0,62,2,0.0,1.0,0.0,1.0,1
63,0,63,2,0.0,1.0,0.0,1.0,2
64,0,64,2,0.0,1.0,0.0,1.0,2
65,0,65,3,1.0,0.0,1.0,0.0,1
66,0,66,3,1.0,0.0,1.0,0.0,1
67,0,67,3,1.0,0.0,1.0,0.0,2
68,0,68,2,0.0,1.0,0.0,1.0,2
69,0,69,2,0.0,1.0,0.0,1.0,1
70,0,70,4,1.0,1.0,1.0,1.0,2
71,0,71,1,0.0,0.0,0.0,0.0,1
72,0,72,1,0.0,0.0,0.0,0.0,2
73,0,73,3,1.0,0.0,1.0,0.0,2
74,0,74,2,0.0,1.0,0.0,1.0,2
75,0,75,1,0.0,0.0,0.0,0.0,2
76,0,76,3,1.0,0.0,1.0,0.0,1
77,0,77,3,1.0,0.0,1.0,0.0,1
78,0,78,3,1.0,0.0,1.0,0.0,1
79,0,79,3,1.0,0.0,1.0,0.0,1
80,0,80,1,0.0,0.0,0.0,0.0,2
81,0,81,3,1.0,0.0,1.0,0.0,2
82,0,82,4,1.0,1.0,1.0,1.0,1
83,0,83,4,1.0,1.0,1.0,1.0,1
84,0,84,4,1.0,1.0,1.0,1.0,1
85,0,85,1,0.0,0.0,0.0,0.0,2
86,0,86,2,0.0,1.0,0.0,1.0,2
87,0,87,3,1.0,0.0,1.0,0.0,1
88,0,88,3,1.0,0.0,1.0,0.0,2
89,0,89,4,1.0,1.0,1.0,1.0,1
90,0,90,3,1.0,0.0,1.0,0.0,1
91,0,91,1,0.0,0.0,0.0,0.0,1
92,0,92,1,0.0,0.0,0.0,0.0,2
93,0,93,3,1.0,0.0,1.0,0.0,2
94,0,94,4,1.0,1.0,1.0,1.0,2
95,0,95,1,0.0,0.0,0.0,0.0,1
96,1,0,3,1.0,0.0,1.0,0.0,1
